id,serial,imei,assetid,model,brand,manu,product,pc,state,inetip,updatetime,remarks,lastEditor
1845,64c0de92,864107034039543,TKMB170202S6,"VIVO Y55A",VIVO,vivo,PD1613,WETEST-KX-DEVICE-SERVER030,,121.35.103.213,"2021-03-17 00:21:02",,NULL
1847,GA7TR4ZH65QOHAYS,863894036217752,TKMB170401FA,"OPPO A59S",OPPO,OPPO,A59,WETEST-KX-DEVICE-SERVER025,,183.14.28.94,"2021-03-16 21:57:39",,NULL
1848,GSLDU16811003299,862632030104068,TKMB180306A0,FRD-AL10,HONOR,HUAWEI,FRD-AL10,WETEST-KX-DEVICE-SERVER045,,183.14.132.171,"2021-03-16 18:30:11",,NULL
1849,EUV8R8CIBAGMP7KV,A100005594DA33,TKMB17030209,"VIVO V3M A",VIVO,vivo,PD1524B,WETEST-KX-DEVICE-SERVER032,,183.14.28.94,"2021-03-17 08:35:37",,NULL
1851,d19fb8db,861406033206233,TKMB170202F8,"VIVO XPLAY5A",VIVO,vivo,PD1522A,WETEST-KX-DEVICE-SERVER032,,121.35.103.251,"2021-03-17 03:38:46",,NULL
1852,a1af1f6a,867219030995367,TKMB18010485,"VIVO Y66",VIVO,vivo,PD1621,WETEST-KX-DEVICE-SERVER031,,121.35.102.157,"2021-03-16 15:24:47",,NULL
1853,66d9c45d,869704031072892,TKMB1810009W,"VIVO X21A",VIVO,vivo,PD1728,WETEST-KX-DEVICE-SERVER031,,121.35.102.98,"2021-03-15 17:49:47",,NULL
1854,XPUDU17221027915,864590037189359,TKMB180303S5,"HUAWEI CAZ-AL10",HUAWEI,HUAWEI,CAZ-AL10,WETEST-KX-DEVICE-SERVER048,,121.35.103.251,"2021-03-16 15:37:52",,NULL
1859,c43eca2f,864566039495747,TKMB17040278,"VIVO X9",VIVO,vivo,PD1616,WETEST-KX-DEVICE-SERVER026,,121.35.103.213,"2021-03-17 04:52:51",,NULL
1860,S3V0217912000415,862337034769615,TKMB1801044A,NTS-AL00,HONOR,HUAWEI,NTS-AL00,WETEST-KX-DEVICE-SERVER039,,183.14.132.148,"2021-03-16 17:20:18",,NULL
1861,DUJFKZEA99999999,862966037163119,TKMB1702010F,"OPPO A59M",OPPO,OPPO,A59m,WETEST-KX-DEVICE-SERVER025,,121.35.103.44,"2021-03-16 00:57:00",,NULL
1862,ZTEBA910,860824031158803,TKMB180600P4,"ZTE BA910T",ZTE,ZTE,T_P653N31,WETEST-KX-DEVICE-SERVER037,,183.14.31.182,"2021-03-16 18:21:19",,NULL
1863,2811981e,863818032727464,TKMB1704009K,"MI 5S PLUS",XIAOMI,Xiaomi,natrium,WETEST-KX-DEVICE-SERVER004,,121.35.100.219,"2021-02-17 18:29:50",,NULL
1864,99UCKNQGQCORT4BU,866840035549890,TKMB18010482,"VIVO Y67A",VIVO,vivo,PD1612,WETEST-KX-DEVICE-SERVER040,,183.14.132.171,"2021-03-16 19:36:40",,NULL
1865,Y2J7N17B15002649,867442035644927,TKMB18010451,VKY-AL00,HUAWEI,HUAWEI,VKY-AL00,WETEST-KX-DEVICE-SERVER012,,183.14.132.159,"2021-03-16 16:59:14",,NULL
1866,5684eaca,866243034491869,TKMB180601MX,"VIVO X9S PLUS L",VIVO,vivo,PD1635,WETEST-KX-DEVICE-SERVER015,,183.14.31.16,"2021-03-11 13:55:25",,NULL
1869,QMS4C16112035132,869709026267043,TKMB170303H3,KIW-AL10,HONOR,HUAWEI,KIW-AL10,WETEST-KX-DEVICE-SERVER012,,121.35.103.79,"2021-03-17 01:11:33",,NULL
1870,721QADRG33ZUW,867291039537599,TKMB180301S7,"M6 NOTE",MEIZU,Meizu,meizu_M6Note,WETEST-KX-DEVICE-SERVER034,,183.14.28.141,"2021-03-04 16:56:03",,NULL
1871,R3E0216C09001198,862837037170844,TKMB1703042E,"HUAWEI VNS-TL00",HUAWEI,HUAWEI,VNS-TL00,WETEST-KX-DEVICE-SERVER040,,183.14.28.94,"2021-03-16 22:05:31",,NULL
1873,8f2bb4c2,861730037097896,TKMB17020197,"OPPO R9 PLUSM A",OPPO,OPPO,R9PlusmA,WETEST-KX-DEVICE-SERVER025,,183.14.28.94,"2021-03-16 06:25:26",,NULL
1875,3CG6T16930000871,862917039262599,TKMB180303S6,NEM-AL10,HONOR,HUAWEI,NEM-AL10,WETEST-KX-DEVICE-SERVER047,,183.14.132.147,"2021-03-16 08:48:17",,NULL
1876,a3edacac,866338036361530,TKMB180104K3,"VIVO X9",VIVO,vivo,PD1616,WETEST-KX-DEVICE-SERVER034,,121.35.103.79,"2021-03-16 10:32:28",,NULL
1880,10a10c56,868828020907783,TKMB170202K0,"VIVO Y35A",VIVO,vivo,PD1502A,WETEST-KX-DEVICE-SERVER037,,121.35.103.251,"2021-03-16 18:28:52",,NULL
1883,DLQ0216331015233,868406024319584,TKMB17020265,"HUAWEI NXT-DL00",HUAWEI,HUAWEI,NXT-DL00,WETEST-KX-DEVICE-SERVER011,,183.14.132.158,"2021-03-17 02:35:12",,NULL
1885,a737e28b,866353036506133,TKMB180402R1,"VIVO X9S L",VIVO,vivo,PD1616B,WETEST-KX-DEVICE-SERVER038,,183.14.30.141,"2021-01-01 02:04:12",,NULL
1890,dc1964af,869118038117131,TKMB1901024N,PBDM00,OPPO,OPPO,PBDM00,WETEST-KX-DEVICE-SERVER021,,121.35.101.225,"2020-11-10 00:20:15",,NULL
1891,56261853,861078039620467,TKMB17020298,"OPPO A53",OPPO,OPPO,A53,WETEST-KX-DEVICE-SERVER023,,183.14.133.21,"2021-03-16 14:53:53",,NULL
1893,14dad888,866338035741955,TKMB180304S6,"VIVO X9",VIVO,vivo,PD1616,WETEST-KX-DEVICE-SERVER052,,121.35.103.133,"2021-03-16 04:26:41",,NULL
1894,b96bcd4,868360036614930,TKMB180702E3,"VIVO X20A",VIVO,vivo,PD1709,WETEST-KX-DEVICE-SERVER037,,121.35.103.251,"2021-03-16 15:53:06",,NULL
1895,793QBDR422793,863098030362941,TKMB170901AF,"PRO 7 PLUS",MEIZU,Meizu,meizu_PRO7Plus,WETEST-KX-DEVICE-SERVER009,,183.14.132.104,"2021-03-13 17:19:33",,NULL
1896,9f13b5b9,860370049711175,TKMB1907004P,RMX1851,REALME,Realme,RMX1851,WETEST-KX-DEVICE-SERVER022,,183.14.132.104,"2020-11-17 16:35:49",,NULL
1897,35c59d4c,867394030793391,TKMB171206H0,"REDMI NOTE 5A",XIAOMI,Xiaomi,ugg,WETEST-KX-DEVICE-SERVER015,,183.14.135.140,"2020-11-23 14:31:41",,NULL
1898,7CSNW18109005725,865831035886466,TKMB18060225,FIG-AL00,HUAWEI,HUAWEI,FIG-AL00,WETEST-KX-DEVICE-SERVER032,,121.35.102.185,"2021-03-15 17:17:13",,NULL
1899,DUPNW17B10001351,867005038088861,TKMB180303S9,PRA-AL00X,HONOR,HUAWEI,PRA-AL00X,WETEST-KX-DEVICE-SERVER014,,121.35.101.94,"2021-03-01 17:16:21",,NULL
1902,4cdda88a,868190026210120,TKMB17030356,"HM NOTE 1S",XIAOMI,Xiaomi,gucci,WETEST-KX-DEVICE-SERVER037,,183.14.132.147,"2021-03-16 10:32:20",,NULL
1903,6d56cad3,868082030617574,TKMB180501J4,"VIVO X20A",VIVO,vivo,PD1709,CT-A1-SERVER-OVERSEA-001,,116.233.184.79,"2020-08-24 14:13:21",,NULL
1908,a39d12e,869722035550770,TKMB190701Y1,"REDMI NOTE 5",XIAOMI,Xiaomi,whyred,WETEST-KX-DEVICE-SERVER010,,183.14.132.152,"2021-03-17 04:58:40",,NULL
1909,456290bb,864736042952758,TKMB1906013P,"VIVO Z3X",VIVO,vivo,PD1730G,WETEST-KX-DEVICE-SERVER005,,121.35.102.134,"2021-03-16 11:03:14",,NULL
1910,1d9618b2,863387034701513,TKMB17030251,"VIVO Y51",VIVO,vivo,PD1510,WETEST-KX-DEVICE-SERVER013,,121.35.101.15,"2021-02-02 15:33:58",,NULL
1912,38c0f471,A00000625A07B9,TKMB170304S5,"OPPO R9 PLUSM A",OPPO,OPPO,R9PlusmA,WETEST-KX-DEVICE-SERVER026,,121.35.101.149,"2021-03-16 16:21:28",,NULL
1913,3a01c424,868049033996958,TKMB1804014P,"OPPO R11S PLUS",OPPO,OPPO,R11sPlus,WETEST-KX-DEVICE-SERVER025,,183.14.29.217,"2020-11-13 15:04:42",,NULL
1914,710b4088,354224062349848,TKMB17030374,SM-N9002,SAMSUNG,samsung,h3gduoszn,WETEST-KX-DEVICE-SERVER031,,183.14.132.148,"2021-03-16 11:45:33",,NULL
1915,A5RNW18209003999,868500032364622,TKMB180304HA,BND-AL10,HONOR,HUAWEI,BND-AL10,WETEST-KX-DEVICE-SERVER039,,121.35.103.79,"2021-03-16 17:35:36",,NULL
1916,f3f4aabb,866702039022557,TKMB18010489,"OPPO R11S PLUS",OPPO,OPPO,R11sPlus,WETEST-KX-DEVICE-SERVER037,,121.35.101.149,"2021-03-17 04:38:40",,NULL
1917,b44dde70,A000006E5F62A8,TKMB17030213,"VIVO Y66",VIVO,vivo,PD1621,WETEST-KX-DEVICE-SERVER032,,183.14.132.155,"2021-02-06 20:51:49",,NULL
1918,04157df45c707d1e,358108064205130,TKMB17030318,SM-G9200,SAMSUNG,samsung,zerofltezc,WETEST-KX-DEVICE-SERVER013,,183.14.132.152,"2021-03-17 11:01:34",,NULL
1919,c795d67a,865146043631113,TKMB180900X6,PBEM00,OPPO,OPPO,PBEM00,WETEST-KX-DEVICE-SERVER006,,121.35.102.11,"2020-08-06 10:06:54",,NULL
1920,H6DGK16A13903470,a0000055fae775,TKMB17020277,"HUAWEI GRA-CL10",HUAWEI,HUAWEI,GRA-CL10,WETEST-KX-DEVICE-SERVER007,,183.14.29.223,"2021-03-11 18:44:53",,NULL
1921,5LM0216C20003541,863336031842747,TKMB180306K4,"HUAWEI NXT-AL10",HUAWEI,HUAWEI,NXT-AL10,WETEST-KX-DEVICE-SERVER016,,121.35.101.149,"2021-03-16 11:56:32",,NULL
1923,22400c00,862827035727265,TKMB170202HA,"VIVO V3MAX A",VIVO,vivo,PD1523,WETEST-KX-DEVICE-SERVER002,,121.35.102.157,"2021-03-16 20:07:27",,NULL
1927,554242ff,866280040206634,TKMB19050LXF,NX629J,NUBIA,nubia,NX629J,WETEST-KX-DEVICE-SERVER006,,183.14.135.244,"2021-03-14 19:04:22",,NULL
1928,a77d6055,860901038577605,TKMB190200AE,"VIVO Y51",VIVO,vivo,PD1510,WETEST-KX-DEVICE-SERVER061,,183.14.31.182,"2021-03-17 06:39:50",,NULL
1929,4TT8CYD6TOK7MBJ7,868299026709468,TKMB17030392,"VIVO X5PRO D",VIVO,vivo,bbk6752_lwt_l,WETEST-KX-DEVICE-SERVER038,,183.14.132.171,"2021-03-16 14:23:55",,NULL
1930,5LM0216C20003546,863336031848553,TKMB180306E1,"HUAWEI NXT-AL10",HUAWEI,HUAWEI,NXT-AL10,WETEST-KX-DEVICE-SERVER062,,183.14.132.152,"2021-03-16 23:13:00",,NULL
1931,FDGNW17213032714,864230037690284,TKMB17020286,NEM-AL10,HONOR,HUAWEI,NEM-AL10,WETEST-KX-DEVICE-SERVER034,,183.14.28.6,"2021-03-15 08:54:28",,NULL
1932,f70cac8e,865750034121891,TKMB17080306,"OPPO R11",OPPO,OPPO,R11,WETEST-KX-DEVICE-SERVER025,,183.14.28.196,"2020-10-30 16:56:42",,NULL
1934,ddd9ea31,869765022962458,TKMB170303F3,"VIVO XPLAY5A",VIVO,vivo,PD1522A,WETEST-KX-DEVICE-SERVER047,,121.35.102.157,"2021-03-16 21:31:42",,NULL
1935,PJQDU15A16006726,869095020799060,TKMB17030243,"HUAWEI RIO-AL00",HUAWEI,HUAWEI,RIO-AL00,WETEST-KX-DEVICE-SERVER006,,121.35.103.79,"2021-03-16 08:59:43",,NULL
1936,A5RNW18815003884,868843043062722,TKMB1809002R,BND-AL10,HONOR,HUAWEI,BND-AL10,WETEST-KX-DEVICE-SERVER048,,183.14.133.21,"2021-03-16 12:36:16",,NULL
1937,68U5T18410001012,868427039897166,TKMB180600N9,RNE-AL00,HUAWEI,HUAWEI,RNE-AL00,WETEST-KX-DEVICE-SERVER012,,121.35.101.176,"2021-03-17 07:31:50",,NULL
1938,51e751a8,865002035738319,TKMB180400AP,"VIVO Y66L",VIVO,vivo,PD1621,WETEST-KX-DEVICE-SERVER011,,183.14.31.204,"2021-02-11 15:47:18",,NULL
1939,a3ed96c1,355021061031545,TKMB1703036K,SM-N9006,SAMSUNG,samsung,h3gzc,WETEST-KX-DEVICE-SERVER038,,121.35.103.14,"2021-03-16 13:22:32",,NULL
1941,3CG4C16820009057,862917031735642,TKMB171103AK,NEM-AL10,HONOR,HUAWEI,NEM-AL10,WETEST-KX-DEVICE-SERVER016,,121.35.101.176,"2021-03-17 04:45:07",,NULL
1943,MASLHMA7B0901859,865846039198577,TKMB18010493,MP1709,MEITU,Meitu,M8s,WETEST-KX-DEVICE-SERVER037,,183.14.135.234,"2021-03-16 01:48:19",,NULL
1944,717b3e0e,861229043798852,TKMB1908019E,GM1900,ONEPLUS,OnePlus,OnePlus7_CH,WETEST-KX-DEVICE-SERVER015,,183.14.28.83,"2021-02-19 04:41:39",,NULL
1947,KWG7N17310000867,864588035859668,TKMB180306KH,EVA-AL10,HUAWEI,HUAWEI,EVA-AL10,WETEST-KX-DEVICE-SERVER037,,183.14.135.234,"2021-03-16 01:01:03",,NULL
1948,e57baa68,866702039406412,TKMB1801046K,"OPPO R11S PLUS",OPPO,OPPO,R11sPlus,WETEST-KX-DEVICE-SERVER037,,183.14.28.153,"2021-03-16 03:16:00",,NULL
1949,9HRS756999999999,862829030216435,TKMB170303AF,"OPPO A59M",OPPO,OPPO,A59m,WETEST-KX-DEVICE-SERVER026,,121.35.103.148,"2021-03-12 14:09:46",,NULL
1951,73EBB18B03200298,863096047546712,TKMB190701JN,LND-AL30,HONOR,HUAWEI,LND-AL30,WETEST-KX-DEVICE-SERVER014,,183.14.135.230,"2021-03-14 09:29:31",,NULL
1953,2ab6d022,864022039972517,TKMB170601K8,"VIVO X9",VIVO,vivo,PD1616,WETEST-KX-DEVICE-SERVER039,,183.14.132.158,"2021-03-17 01:45:24",,NULL
1954,7ac4c4a2,862827039042497,TKMB170202A5,"VIVO V3MAX A",VIVO,vivo,PD1523,WETEST-KX-DEVICE-SERVER016,,183.14.132.159,"2021-03-17 03:49:20",,NULL
1955,8TSC8L5SWSKNT4BU,869320031646633,TKMB1908005P,PACM00,OPPO,OPPO,PACM00,WETEST-KX-DEVICE-SERVER022,,183.14.135.230,"2021-03-16 01:48:16",,NULL
1959,MA6GLMB751704415,863014031182469,TKMB1809003M,MP1603,MEITU,Meitu,M8,WETEST-KX-DEVICE-SERVER048,,183.14.28.94,"2021-03-17 01:11:02",,NULL
1962,GSL0216907005299,862632037758841,TKMB180401T0,FRD-AL10,HONOR,HUAWEI,FRD-AL10,WETEST-KX-DEVICE-SERVER037,,121.35.102.104,"2021-03-01 18:24:29",,NULL
1963,1ba8c851,862238034571722,TKMB170502AS,"MI MAX",XIAOMI,Xiaomi,hydrogen,WETEST-KX-DEVICE-SERVER013,,121.35.103.133,"2021-03-15 16:36:43",,NULL
1967,44fac45e,867620024827401,TKMB1703039H,R7PLUSM,OPPO,OPPO,R7Plusm,WETEST-KX-DEVICE-SERVER021,,183.14.132.150,"2021-03-17 06:02:31",,NULL
1977,85504f26,862886031821662,TKMB17020083,"VIVO X7PLUS",VIVO,vivo,PD1603,WETEST-KX-DEVICE-SERVER012,,183.14.132.158,"2021-03-16 18:33:46",,NULL
1978,N8K0217923007132,866783039889435,TKMB180103F2,MHA-AL00,HUAWEI,HUAWEI,MHA-AL00,WETEST-KX-DEVICE-SERVER006,,183.14.132.148,"2021-03-17 03:54:28",,NULL
1979,FU7LUW8L99999999,864806038617275,TKMB180306F8,"OPPO A59S",OPPO,OPPO,A59,WETEST-KX-DEVICE-SERVER022,,121.35.102.134,"2021-03-16 14:56:16",,NULL
1980,YCYNW18312000773,869984031553691,TKMB18040181,FIG-AL10,HUAWEI,HUAWEI,FIG-AL10,WETEST-KX-DEVICE-SERVER007,,183.14.132.159,"2021-03-17 05:17:40",,NULL
1982,AYKNW18419004924,868599038283760,TKMB18060271,LLD-AL10,HONOR,HUAWEI,LLD-AL10,WETEST-KX-DEVICE-SERVER011,,183.14.132.150,"2021-03-16 14:18:14",,NULL
1983,32cd9ee2,864269045734957,TKMB190900P1,V1914A,VIVO,vivo,PD1914,WETEST-KX-DEVICE-SERVER006,,183.14.31.25,"2021-03-14 10:32:46",,NULL
1984,2ffcdf62,863818038185063,TKMB1704013F,"MI 5S PLUS",XIAOMI,Xiaomi,natrium,WETEST-KX-DEVICE-SERVER010,,121.35.103.251,"2021-03-17 11:01:48",,NULL
1985,cf49fc83,864550033181941,TKMB180306S4,"VIVO X9PLUS",VIVO,vivo,PD1619,WETEST-KX-DEVICE-SERVER006,,183.14.133.21,"2021-03-17 08:33:01",,NULL
1986,b8bc1b834418,A00000556DEE40,TKMB170303E5,CHM-CL00,HONOR,HUAWEI,CHM-CL00,WETEST-KX-DEVICE-SERVER031,,183.14.132.158,"2021-03-17 07:04:50",,NULL
1990,2f4fc63,A0000060FDC3C7,TKMB1801053S,"OPPO R9S PLUS",OPPO,OPPO,R9sPlus,WETEST-KX-DEVICE-SERVER025,,183.14.132.150,"2021-03-16 16:47:34",,NULL
1993,2777b8bf,A000005F4924D3,TKMB1804015F,"OPPO R9 PLUSM A",OPPO,OPPO,R9PlusmA,WETEST-KX-DEVICE-SERVER049,,121.35.103.44,"2021-03-16 05:00:55",,NULL
1996,GPG4C19612006042,865164049371733,TKMB190901J5,VCE-AL00,HUAWEI,HUAWEI,VCE-AL00,WETEST-KX-DEVICE-SERVER042,,183.14.132.150,"2021-03-16 18:02:43",,NULL
1997,80CBCNT227D7,869016020818015,TKMB170401F6,M570C,MEIZU,Meizu,meizu_PRO6,WETEST-KX-DEVICE-SERVER001,,121.35.100.183,"2021-02-04 14:23:13",,NULL
2001,db31fcd4,866353032588911,TKMB180400EE,"VIVO X9S L",VIVO,vivo,PD1616B,WETEST-KX-DEVICE-SERVER012,,183.14.135.245,"2021-03-16 00:18:29",,NULL
2003,1a971ee0,868233037685755,TKMB17120E22,"ONEPLUS A5010",ONEPLUS,OnePlus,OnePlus5T,WETEST-KX-DEVICE-SERVER009,,183.14.132.148,"2021-03-17 05:02:30",,NULL
2004,484b1570,868488031088147,TKMB180601AY,SKR-A0,BLACKSHARK,blackshark,SKR-A0,WETEST-KX-DEVICE-SERVER015,,183.14.132.152,"2021-03-16 17:24:28",,NULL
2005,17233023,861615039637114,TKMB16110A75,"VIVO V3MAX A",VIVO,vivo,PD1523,WETEST-KX-DEVICE-SERVER006,,183.14.29.184,"2021-02-05 18:24:33",,NULL
2006,WJX7N17318003733,862941037731603,TKMB17040284,VKY-AL00,HUAWEI,HUAWEI,VKY-AL00,WETEST-KX-DEVICE-SERVER061,,121.35.101.176,"2021-03-17 10:51:00",,NULL
2007,5JP0217C04002426,867439032858690,TKMB180900E8,STF-AL10,HONOR,HUAWEI,STF-AL10,WETEST-KX-DEVICE-SERVER027,,121.35.103.54,"2021-03-16 05:08:18",,NULL
2008,NVWONJR8U8Y5OJ6P,861543030798398,TKMB1706025S,"OPPO R9TM",OPPO,OPPO,R9tm,WETEST-KX-DEVICE-SERVER021,,121.35.102.134,"2021-03-17 10:54:49",,NULL
2009,74a2c697,864534038245836,TKMB1704027F,"VIVO X9I",VIVO,vivo,PD1624,WETEST-KX-DEVICE-SERVER007,,183.14.31.16,"2021-03-11 18:58:06",,NULL
2010,9PYTHI4L75YDTKAM,865320030036749,TKMB170601F9,"VIVO Y67A",VIVO,vivo,PD1612,WETEST-KX-DEVICE-SERVER037,,121.35.103.251,"2021-03-16 17:37:46",,NULL
2011,XKG4C17112001771,864233035198110,TKMB1703039A,CAM-AL00,HONOR,HUAWEI,CAM-AL00,WETEST-KX-DEVICE-SERVER008,,183.14.28.94,"2021-03-17 00:45:53",,NULL
2012,VOUW6S5T99999999,865729035961083,TKMB17050299,"VIVO Y67A",VIVO,vivo,PD1612,WETEST-KX-DEVICE-SERVER011,,183.14.31.182,"2021-03-17 11:11:34",,NULL
2015,4YY4C17B22003594,864640032635060,TKMB18030338,WAS-AL00,HUAWEI,HUAWEI,WAS-AL00,WETEST-KX-DEVICE-SERVER035,,121.35.102.134,"2021-03-16 21:15:03",,NULL
2016,Y2J7N18105004440,867536033760260,TKMB18040037,VKY-AL00,HUAWEI,HUAWEI,VKY-AL00,WETEST-KX-DEVICE-SERVER034,,183.14.29.233,"2021-03-11 19:16:31",,NULL
2017,YCPDU17511001126,864646035752174,TKMB1806009X,BLN-AL30,HONOR,HUAWEI,BLN-AL30,WETEST-KX-DEVICE-SERVER034,,183.14.132.171,"2021-03-17 02:11:20",,NULL
2019,b0b7e075,868040034163086,TKMB18060041,"VIVO Y55",VIVO,vivo,PD1613,WETEST-SA-DEVICE-006,,116.232.107.52,"2020-05-02 17:35:43",,NULL
2021,2903a8f2,864166038121582,TKMB170601AA,"MI MAX 2",XIAOMI,Xiaomi,oxygen,WETEST-KX-DEVICE-SERVER027,,121.35.100.191,"2021-03-16 06:01:14",,NULL
2023,f819e8b8,869897028495678,TKMB17020263,"VIVO X6SPLUS D",VIVO,vivo,PD1501BD,WETEST-KX-DEVICE-SERVER031,,121.35.103.54,"2021-03-15 18:20:04",,NULL
2024,90e0aa5b,867464032796831,TKMB180400NT,"OPPO R11S",OPPO,OPPO,R11s,WETEST-KX-DEVICE-SERVER022,,183.14.132.158,"2021-03-17 03:21:39",,NULL
2027,b75bc839,865463039221258,TKMB180401AW,"OPPO R11 PLUSKT",OPPO,OPPO,R11Pluskt,WETEST-KX-DEVICE-SERVER040,,183.14.132.150,"2021-03-16 15:58:16",,NULL
2028,9cb8c201,867464032809956,TKMB1801045F,"OPPO R11S",OPPO,OPPO,R11s,WETEST-KX-DEVICE-SERVER008,,121.35.103.86,"2020-09-28 12:06:00",,NULL
2030,RDT0216B23002340,869573028628523,TKMB18030804,"HUAWEI CRR-UL00",HUAWEI,HUAWEI,CRR-UL00,WETEST-KX-DEVICE-SERVER011,,183.14.31.85,"2020-12-23 07:34:27",,NULL
2031,9YJNW18319007073,869910031616758,TKMB18040050,TRT-AL00A,HUAWEI,HUAWEI,TRT-AL00A,WETEST-KX-DEVICE-SERVER034,,121.35.101.149,"2021-03-16 14:11:47",,NULL
2033,c378b8d1,351952083852506,TKMB18010544,SM-G9350,SAMSUNG,samsung,hero2qltezc,WETEST-KX-DEVICE-SERVER005,,183.14.132.158,"2021-03-17 06:18:00",,NULL
2037,1e176448,353460085098936,TKMB1703021E,SM-C9000,SAMSUNG,samsung,c9ltezc,WETEST-KX-DEVICE-SERVER007,,183.14.28.153,"2021-03-14 23:08:34",,NULL
2039,B7E5T17720008727,866150039160722,TKMB18030733,BAC-AL00,HUAWEI,HUAWEI,BAC-AL00,WETEST-KX-DEVICE-SERVER012,,121.35.103.14,"2021-03-16 17:14:52",,NULL
2040,dd51fcca,869897026732643,TKMB17020272,"VIVO X6SPLUS D",VIVO,vivo,PD1501BD,WETEST-KX-DEVICE-SERVER013,,121.35.100.180,"2021-03-14 21:10:44",,NULL
2041,e1e895d8,864572034015431,TKMB17030224,"VIVO Y66",VIVO,vivo,PD1621,WETEST-KX-DEVICE-SERVER030,,121.35.103.79,"2021-03-16 22:49:34",,NULL
2043,JGB9K17916901783,865552030655546,TKMB1711049E,JMM-AL10,HONOR,HUAWEI,JMM-AL10,WETEST-KX-DEVICE-SERVER016,,121.35.103.79,"2021-03-16 14:33:36",,NULL
2046,GSL0217605001205,865214034315532,TKMB17060248,FRD-AL10,HONOR,HUAWEI,FRD-AL10,WETEST-KX-DEVICE-SERVER052,,183.14.28.153,"2021-03-16 05:02:22",,NULL
