assetid,assetname
TKMB200200TX,P30(全网通4G/8GB+64GB/颜色随机)
TKMB200200TF,nova 5 Pro（全网通4G/8GB+128GB/颜色不限）
TKMB200200TP,华为 HUAWEI Mate 20 麒麟980AI智能芯片全面屏超微距影像超大广角徕卡三摄6GB+64GB亮黑色全网通版双4G手机(100000986052)
TKMB1912073E,X23（全网通4G手机/ 6GB+128GB/颜色随机）
TKMB19120750,小米9（全网通版4G手机/12GB+256GB/透明尊享/颜色随机）
TKMB1912074N,小米9（全网通版4G手机/12GB+256GB/透明尊享/颜色随机）
TKMB191207F8,X23（全网通4G手机/ 6GB+128GB/颜色随机）
TKMB1912070M,Y93（全网通4G/4G+64G/颜色随机）
TKMB1912070F,Y93（全网通4G/4G+64G/颜色随机）
TKMB19120733,荣耀20（全网通4G/8GB+128GB/颜色不限）
TKMB2002001M,Galaxy A80 （SM-A8050／8GB+128GB／全网通／双卡双待／颜色随机）
TKMB20020036,iPhone XS (A2100) 64GB 深空灰色 移动联通电信4G手机(100000177748)
TKMB2002003N,iPhone XS (A2100) 64GB 深空灰色 移动联通电信4G手机(100000177748)
TKMB2002003P,iPhone XS (A2100) 64GB 深空灰色 移动联通电信4G手机(100000177748)
TKMB2002003G,iPhone XS (A2100) 64GB 深空灰色 移动联通电信4G手机(100000177748)
TKMB20020038,iPhone XS (A2100) 64GB 深空灰色 移动联通电信4G手机(100000177748)
TKMB20020032,iPhone XS (A2100) 64GB 深空灰色 移动联通电信4G手机(100000177748)
TKMB20020037,iPhone XS (A2100) 64GB 深空灰色 移动联通电信4G手机(100000177748)
TKMB2002003Y,iPhone XS (A2100) 64GB 深空灰色 移动联通电信4G手机(100000177748)
TKMB2002003R,iPhone XS (A2100) 64GB 深空灰色 移动联通电信4G手机(100000177748)
TKMB20020033,iPhone XS (A2100) 64GB 深空灰色 移动联通电信4G手机(100000177748)
TKMB2002003E,iPhone XS (A2100) 64GB 深空灰色 移动联通电信4G手机(100000177748)
TKMB2002003J,iPhone XS (A2100) 64GB 深空灰色 移动联通电信4G手机(100000177748)
TKMB2002003W,iPhone XS (A2100) 64GB 深空灰色 移动联通电信4G手机(100000177748)
TKMB2002003T,iPhone XS (A2100) 64GB 深空灰色 移动联通电信4G手机(100000177748)
TKMB2002003F,iPhone XS (A2100) 64GB 深空灰色 移动联通电信4G手机(100000177748)
TKMB2002003M,iPhone XS (A2100) 64GB 深空灰色 移动联通电信4G手机(100000177748)
TKMB2002003A,iPhone XS (A2100) 64GB 深空灰色 移动联通电信4G手机(100000177748)
TKMB20020031,iPhone XS (A2100) 64GB 深空灰色 移动联通电信4G手机(100000177748)
TKMB2002003L,iPhone XS (A2100) 64GB 深空灰色 移动联通电信4G手机(100000177748)
TKMB20020034,iPhone XS (A2100) 64GB 深空灰色 移动联通电信4G手机(100000177748)
TKMB20020035,iPhone XS (A2100) 64GB 深空灰色 移动联通电信4G手机(100000177748)
TKMB2002003X,iPhone XS (A2100) 64GB 深空灰色 移动联通电信4G手机(100000177748)
TKMB20020039,iPhone XS (A2100) 64GB 深空灰色 移动联通电信4G手机(100000177748)
TKMB1912072J,荣耀20（全网通4G/8GB+128GB/颜色不限）
TKMB19120674,iPhone XS (A2100) 64GB 深空灰色 移动联通电信4G手机(100000177748)
TKMB19120684,iPhone 11 Pro Max(全网通/64GB/颜色随机)
TKMB1912066M,iPhone XS (A2100) 64GB 深空灰色 移动联通电信4G手机(100000177748)
TKMB19120675,iPhone XS (A2100) 64GB 深空灰色 移动联通电信4G手机(100000177748)
TKMB1912068J,iphone 8 (A1863/移动联通电信4G手机/64G/颜色随机）
TKMB1912068T,iPhone 11(全网通/64GB/颜色随机)
TKMB191206M6,R11T（二手机/R11T/移动定制版本/4GB*64GB）
TKMB191207GL,HUAWEI?d-02K?（4GB+64GB）
TKMB191207GY,HUAWEI?JKM-LX1（4GB+64GB）
TKMB191207GJ,HUAWEI?JKM-LX1（4GB+64GB）
TKMB191207GX,FUJ?F-04K?（6GB+64GB）
TKMB191207GF,HUAWEI?FLA-LX2（6GB+64GB）
TKMB191207GE,SONY?Xperia?SO-02K?（4GB+64GB）
TKMB191207GW,SONY?Xperia?SOV38?（6GB+64GB）
TKMB191207GP,SONY?Xperia?SOV38?（6GB+64GB）
TKMB191207GA,AQUOS??SHV42?（6GB+64GB）
TKMB191207G9,AQUOS??SHV42?（6GB+64GB）
TKMB191207G8,SONY?Xperia?SO-05K?（4GB+64GB）
TKMB191207G7,SONY?Xperia?SO-05K?（4GB+64GB）
TKMB191207GM,HUAWEI?d-02K?（4GB+64GB）
TKMB191207X7,HUAWEI?FIG-LA1?（6GB+64GB）
TKMB191207TW,SONY?Xperia?602SO?（4GB+64GB）
TKMB191207T4,HUAWEI?WAS-LX1A?（6GB+64GB）
TKMB191207GR,SONY?Xperia?SO-02K?（4GB+64GB）
TKMB191207XF,HUAWEI?HWV32?（6GB+64GB）
TKMB191207X1,SAMSUNG?SCV40?（4GB+64GB）
TKMB191207TY,HUAWEI?INE-LX1（6GB+64GB）
TKMB191207TF,SONY?Xperia?SO-04K?（6GB+64GB）
TKMB191207T3,HUAWEI?WAS-LX1A?（6GB+64GB）
TKMB191207GT,FUJ?F-04K?（6GB+64GB）
TKMB191207XX,SAMSUNG?SM-A720F（6GB+64GB）
TKMB191207XT,SAMSUNG?SM-A720F（6GB+64GB）
TKMB191207XG,HUAWEI?HWV32?（6GB+64GB）
TKMB191207XE,HUAWEI?JSN-L22（6GB+64GB）
TKMB191207XR,HUAWEI?JSN-L22（6GB+64GB）
TKMB191207XW,SONY?Xperia?702SO?（6GB+64GB）
TKMB191207XP,SONY?Xperia?702SO?（6GB+64GB）
TKMB191207XA,HUAWEI?HW-01K?（4GB+64GB）
TKMB191207X9,HUAWEI?HW-01K?（4GB+64GB）
TKMB191207X8,HUAWEI?FIG-LA1?（6GB+64GB）
TKMB191207X6,SAMSUNG?SM-A605G（6GB+64GB）
TKMB191207X5,SAMSUNG?SM-A605G（6GB+64GB）
TKMB191207X4,FUJ?F-01J?（4GB+64GB）
TKMB191207X3,FUJ?F-01J?（4GB+64GB）
TKMB191207X2,SAMSUNG?SCV40?（4GB+64GB）
TKMB191207X0,SAMSUNG?SC-02L?（6GB+64GB）
TKMB191207TN,SAMSUNG?SC-02L?（6GB+64GB）
TKMB191207TM,SONY?Xperia?SO-03K?（6GB+64GB）
TKMB191207TL,SONY?Xperia?SO-03K?（6GB+64GB）
TKMB191207TJ,HUAWEI?INE-LX1（6GB+64GB）
TKMB191207TX,SAMSUNG?SC-01L?（6GB+64GB）
TKMB191207TT,SAMSUNG?SC-01L?（6GB+64GB）
TKMB191207TG,SONY?Xperia?SO-04K?（6GB+64GB）
TKMB191207TE,SONY?Xperia?SOV39?（4GB+64GB）
TKMB191207TR,SONY?Xperia?SOV39?（4GB+64GB）
TKMB191207TP,SONY?Xperia?602SO?（4GB+64GB）
TKMB191207TA,HUAWEI?FIG-LX1（4GB+64GB）
TKMB191207T9,HUAWEI?FIG-LX1（4GB+64GB）
TKMB191207T8,FUJ?F-01K?（6GB+64GB）
TKMB191207T7,FUJ?F-01K?（6GB+64GB）
TKMB191207T6,HUAWEI?d-02H?（6GB+64GB）
TKMB191207T5,HUAWEI?d-02H?（6GB+64GB）
TKMB191207T2,LG?L-01K?（4GB+64GB）
TKMB191207T1,LG?L-01K?（4GB+64GB）
TKMB191207T0,TORQUE?KYV41?（6GB+64GB）
TKMB191207GN,TORQUE?KYV41?（6GB+64GB）
TKMB191207A9,小米9 Pro 5G 30W无线闪充 NFC 8GB+128GB
TKMB1912077M,VIVO?X9S(4G+64G)
TKMB191207AY,华为?STF-AL10(4G+128G)
TKMB191207A3,小米?MI6(4G+64G)
TKMB19120791,OPPO?R11PLUS(4G+64G)
TKMB1912078W,OPPO?R11PLUSKT(4G+64G)
TKMB191207PA,三星?G9500(6G+128G)
TKMB191207P9,华为 dua-al00(2GB+16GB)
TKMB191207P8,VIVO?X9L(4G+64G)
TKMB191207P3,VIVO?V1829A(8G+128G)
TKMB191207P2,VIVO?X9SL(4G+64G)
TKMB191207P0,vivo v3ma(3GB+32GB)
TKMB191207AN,OPPO a77(3GB+32GB)
TKMB191207AL,华为?STF-AL10(4G+128G)
TKMB191207AX,三星?G9550(4G+128G)
TKMB191207AT,三星?G9550(4G+128G)
TKMB191207AF,华为?HRY-AL00A(4G+64G)
TKMB191207AW,vivo y51(2GB+16GB)
TKMB191207A7,OPPO?PACM00(6G+128G)
TKMB191207A6,华为?CLT-AL01(6G+128G)
TKMB191207A2,华为?BKL-AL20(4G+64G)
TKMB191207A0,小米?MI8(6G+128G)
TKMB1912079L,华为?FRD-AL00(4G+32G)
TKMB1912079T,VIVO?X21(6G+128G)
TKMB1912079G,VIVO?X21(6G+128G)
TKMB1912079F,华为?VIE-AL10(4G+64G)
TKMB1912079R,华为?BAC-AL00(4G+64G)
TKMB1912079P,OPPO?A83T(4G+32G)
TKMB19120799,OPPO?R9ST(4G+64G)
TKMB19120798,OPPO?R9ST(4G+64G)
TKMB19120795,三星 A90 5G SM-A9080 疾骁龙855 8GB+128GB
TKMB19120794,OPPO a77t(4GB+32GB)
TKMB19120793,华为Mate10 4GB+64GB
TKMB19120792,三星 S8+ 黑色 4GB+64G
TKMB19120790,OPPO a33m(2GB+16GB)
TKMB1912078N,华为 jat-al00(4GB+64GB)
TKMB1912078Y,华为?PRA-AL00X(4G+64G)
TKMB1912078X,华为?RNE-ALOO(4G+64G)
TKMB1912078F,VIVO?Y85(4G+128G)
TKMB1912078A,华为?LON-AL00(4G+128G)
TKMB19120789,华为?LON-AL00(4G+128G)
TKMB19120785,华为?VKY-AL00(4G+128G)
TKMB19120784,华为?ALP-AL00(4G+128G)
TKMB19120780,华为 lld－al00(4GB+64GB)
TKMB1912079W,OPPO?A83T(4G+32G)
TKMB19120105,OPPO?R11S?(4GB+64GB)
TKMB191200NN,OPPO?R11SPLUS?(4GB+64GB)
TKMB1912011R,OPPO Reno Ace 8G RenoAce 台 8GB+256GB 高达定制
TKMB191200NX,华为 HUAWEI nova 5z景 麒麟810芯片 6GB+64GB
TKMB1912011J,VIVO?X6D?(4GB+64GB)
TKMB1912011X,小米?MIX-2?(4GB+64GB)
TKMB19120128,OPPO?PAAT00?(4GB+64GB)
TKMB1912010W,OPPO?R9S?(4GB+64GB)
TKMB1912010R,OPPO?R9S?(4GB+64GB)
TKMB19120127,OPPO?PAAT00?(4GB+64GB)
TKMB1912013W,OPPO?PACM00?(4GB+64GB)
TKMB19120137,华为?BKL-AL20?(4GB+64GB)
TKMB19120108,华为?HWI-AL00?(4GB+64GB)
TKMB19120109,华为?HWI-AL00?(4GB+64GB)
TKMB1912010T,OPPO?A73T?(4GB+64GB)
TKMB1912013E,VIVO?X7PLUS?(4GB+64GB)
TKMB1912012N,VIVO?V1831A?(4GB+64GB)
TKMB19120124,OPPO Reno2 Z 8G+128GB
TKMB1912010M,小米?MI-5SPLUS?(4GB+64GB)
TKMB191200NL,红米?NOTE7?(4GB+64GB)
TKMB19120129,OPPO?R9SPLUS?(4GB+64GB)
TKMB191200NM,努比亚 nubia 红魔3S 8GB+128GB 银色风暴
TKMB19120120,VIVO?Y67L?(4GB+64GB)
TKMB19120123,华为?CAZ-AL10?(4GB+64GB)
TKMB19120111,华为?PIC-AL00?(4GB+64GB)
TKMB19120110,华为?PIC-AL00?(4GB+64GB)
TKMB1912012G,华为?VKY-AL00?(4GB+64GB)
TKMB1912010J,VIVO?X6A?(4GB+64GB)
TKMB191200NP,VIVO?Y67?(4GB+64GB)
TKMB1912013F,OPPO K5 6GB+128GB 奇幻森林 6400万超清四摄
TKMB19120135,VIVO?XPLAY6?(4GB+64GB)
TKMB1912010P,OPPO?PAAM00?(4GB+64GB)
TKMB19120138,OPPO?R11T?(4GB+64GB)
TKMB19120106,OPPO A11 5000mAh大电池 AI四摄 视频防抖 4GB+128GB 湖光绿
TKMB191200NY,VIVO?X21A?(4GB+64GB)
TKMB1912010Y,VIVO?X6A?(4GB+64GB)
TKMB1912011P,OPPO?R7SM?(4GB+64GB)
TKMB1912010F,华为 HUAWEI 畅享10S 6GB+64GB
TKMB1912010E,VIVO?X9L?(4GB+64GB)
TKMB1912012W,VIVO?XPLAY5A?(4GB+64GB)
TKMB1912011E,OPPO?PACT00?(4GB+64GB)
TKMB1912012T,华为?VTR-AL00?(4GB+64GB)
TKMB19120139,OPPO?R11T?(4GB+64GB)
TKMB19120132,OPPO?R11ST?(4GB+64GB)
TKMB1912011F,OPPO?PACT00?(4GB+64GB)
TKMB191200NW,VIVO?Y67?(4GB+64GB)
TKMB1912013P,小米?MI-5X?(4GB+64GB)
TKMB19120134,VIVO?XPLAY6?(4GB+64GB)
TKMB1912011W,OPPO A11x 4800万 A11x 8GB+128GB  全网通4G
TKMB19120126,VIVO?X20?(4GB+64GB)
TKMB19120131,VIVO?Y85A?(4GB+64GB)
TKMB191200NE,OPPO?R9PLUS-MA?(4GB+64GB)
TKMB19120130,VIVO?Y85A?(4GB+64GB)
TKMB191200NR,OPPO?R9PLUS-MA?(4GB+64GB)
TKMB19120114,OPPO?A59S?(4GB+64GB)
TKMB1912013G,OPPO Reno2 4800 Reno2 8GB+128GB
TKMB190902XA,SM-G965N (国际版/6GB+128GB/颜色随机)
TKMB190902XF,SM-G965N (国际版/6GB+128GB/颜色随机)
TKMB190902T9,SM-G965N (国际版/6GB+128GB/颜色随机)
TKMB19090256,JSN-L22 (国际版/4GB+64GB/颜色随机)
TKMB190902XW,SM-G9650 (国际版/6GB+64GB/颜色随机)
TKMB190902X4,SM-N950F (国际版/6GB+64GB/颜色随机)
TKMB190902XJ,SM-N950F (国际版/6GB+64GB/颜色随机)
TKMB190902X9,SM-G965N (国际版/6GB+128GB/颜色随机)
TKMB191000J7,iPhone 8 Plus (A1864) 64GB 深空灰色 移动联通电信4G手机(5089275)
TKMB191000JP,iPhone 8 Plus (A1864) 64GB 深空灰色 移动联通电信4G手机(5089275)
TKMB191001GP,Pixel 2 XL(美版/4GB+64GB/颜色随机)
TKMB191001G1,Pixel 2 XL(美版/4GB+64GB/颜色随机)
TKMB1910011P,iPhone 8 Plus (A1864) 64GB 深空灰色 移动联通电信4G手机(5089275)
TKMB191102AL,google Pixel3(移动联通4G+64G/白色）
TKMB191102AW,华为 HUAWEI Mate 30 Pro 麒麟990旗舰芯片OLED环幕屏双4000万徕卡电影四摄
TKMB191102P0,华为 HUAWEI Mate 30 Pro 5G 麒麟990 OLED环幕屏双4000万徕卡电影四摄8GB+256GB亮
TKMB191102AJ,google Pixel3(移动联通4G+64G/白色）
TKMB191102AY,google Pixel3(移动联通4G+64G/白色）
TKMB191102AF,华为 HUAWEI Mate 30 5G 麒麟990 4000万超感光徕卡影像双超级快充8GB+128GB星河银
TKMB191102AG,华为 HUAWEI Mate 30 5G 麒麟990 4000万超感光徕卡影像双超级快充8GB+128GB星河银
TKMB191102AT,google Pixel3(移动联通4G+64G/白色）
TKMB191102AX,google Pixel3(移动联通4G+64G/白色）
TKMB19100245,米5(二手机/全网通/3GB+32GB/标准版/颜色随机)
TKMB1910006R,OPPO R11ST（二手机/R11ST/移动定制/4GB*64GB）
TKMB1911006E,mate9 Pro(二手机/全网通/6G+128G/颜色随机)
TKMB19100246,米6(二手机/全网通4G/6GB+64GB/颜色随机)
TKMB191000LA,CC 9（全网通4G/8GB+256GB/美图定制版/颜色不限）
TKMB191000M0,nova 5i（全网通4G/8GB+128GB/颜色不限）
TKMB191000LY,nova 5i（全网通4G/8GB+128GB/颜色不限）
TKMB190902XY,SC-05G (国际版/3GB+64GB/颜色随机)
TKMB19090243,JKM-LX1 (国际版/4GB+64GB/颜色随机)
TKMB19090257,JKM-LX1 (国际版/4GB+64GB/颜色随机)
TKMB190902X0,SM-J810F (国际版/4GB+64GB/颜色随机)
TKMB190902XT,SM-J810F (国际版/4GB+64GB/颜色随机)
TKMB190902TN,Xperia SO-01L (国际版/4GB+64GB/颜色随机)
TKMB190902XR,SM-G930T (国际版/4GB+64GB/颜色随机)
TKMB190902X7,SM-G930T (国际版/4GB+64GB/颜色随机)
TKMB190902XE,ANE-LX2J (国际版/4GB+64GB/颜色随机)
TKMB190902TT,ANE-LX2J (国际版/4GB+64GB/颜色随机)
TKMB190902XG,LG-K220 (国际版/2GB+16GB/颜色随机)
TKMB190902X2,LG-K220 (国际版/2GB+16GB/颜色随机)
TKMB190902TP,LM-G710N (国际版/4GB+64GB/颜色随机)
TKMB190902TA,LM-G710N (国际版/4GB+64GB/颜色随机)
TKMB19090258,SM-J610G (国际版/4GB+64GB/颜色随机)
TKMB1909024X,SM-J610G (国际版/4GB+64GB/颜色随机)
TKMB190902XL,COL-L29 (国际版/4GB+64GB/颜色随机)
TKMB190902TE,COL-L29 (国际版/4GB+64GB/颜色随机)
TKMB190902TX,Xperia 801SO (国际版/4GB+64GB/颜色随机)
TKMB190902TJ,Xperia 801SO (国际版/4GB+64GB/颜色随机)
TKMB19090255,JSN-L22 (国际版/4GB+64GB/颜色随机)
TKMB1909024R,SM-A605G (国际版/4GB+64GB/颜色随机)
TKMB190902TG,SC-05G (国际版/3GB+64GB/颜色随机)
TKMB19100209,5S PLUS(二手机/全网通/4GB+64GB/颜色随机)
TKMB19100213,NOVA(二手机/全网通/4GB+64GB/颜色随机)
TKMB19100242,P9(二手机/全网通/高配版/4GB+64GB/EVA-AL10/颜色随机)
TKMB1911008W,P20 Pro(二手机/全网通4G/6GB+256GB/颜色随机)
TKMB191000MF,畅享7PLUS(4GB+64G全网通 颜色随机)
TKMB191002XF,P10( 移动联通电信4G/双卡双待/ 4GB+64GB/颜色随机)
TKMB191002MP,Note8 (全网通4G/4GB+64GB/颜色随机)
TKMB191002M1,K3（全网通4G/6GB+64GB/颜色随机）
TKMB191002LA,Mate S(二手机/移动联通4G/3GB+32GB/CRR-UL00/颜色随机)
TKMB191002JM,NOVA(二手机/全网通/4GB+64GB/颜色随机)
TKMB191002L8,麦芒 8（全网通4G/6GB+128GB/颜色不限）
TKMB191100W8,华为 HUAWEI 畅享10 Plus 超高清全视屏前置悬浮式镜头4800万超广角AI三摄 4GB+128GB翡冷翠全网通双4G手机(100008031596)
TKMB191002YL,荣耀畅玩6X尊享版(4GB+64GB 颜色随机)
TKMB191002YY,华为畅享8 全面屏三卡槽 4GB+64GB 金色 全网通高配版 移动联通电信4G手机 双卡双待(6737464)
TKMB191002LP,荣耀8X（移动联通电信4G手机/6GB+64GB/颜色随机）
TKMB191002XA,华为 HUAWEI nova 4e 3200万立体美颜AI超广角三摄珍珠屏4GB+128GB幻夜黑全网通版双4G手机(100002535419)
TKMB191002XW,华为 HUAWEI 畅享MAX 4GB+64GB 幻夜黑 全网通版 珍珠屏杜比全景声大电池 移动联通电信4G手机 双卡双待(100000745034)
TKMB191002Y9,P10 plus( 移动联通电信4G/双卡双待/ 6GB+128GB/颜色随机)
TKMB191002LW,9X (全网通4G/4GB+64GB/颜色随机)
TKMB191002XE,荣耀10青春版系列 全网通版4GB+64GB 渐变蓝 移动联通电信4G全面屏手机 双卡双待(100001550349)
TKMB19110002,Reno Z（全网通4G/8GB+128GB/颜色不限）
TKMB191100RY,华为 BKK-L21 (国际版/4GB+64GB/颜色随机)
TKMB191100WG,华为 JSN-L21 (国际版/4GB+64GB/颜色随机)
TKMB191100WM,三星 SM-G950N (国际版/4GB+64GB/颜色随机)
TKMB191100EA,小米 MI 6X (国际版/4GB+64GB/颜色随机)
TKMB191100RN,小米 Mi A1 (国际版/4GB+64GB/颜色随机)
TKMB191100RM,小米 Mi A1 (国际版/4GB+64GB/颜色随机)
TKMB191100RL,华为 BKK-L21 (国际版/4GB+64GB/颜色随机)
TKMB191100RR,三星 SM-A605F (国际版/4GB+64GB/颜色随机)
TKMB191100WT,华为 JSN-L21 (国际版/4GB+64GB/颜色随机)
TKMB191100WX,三星 SM-G930K (国际版/4GB+64GB/颜色随机)
TKMB191100WJ,三星 SM-G930K (国际版/4GB+64GB/颜色随机)
TKMB191100WY,华为 BND-L21 (国际版/4GB+64GB/颜色随机)
TKMB191100WL,华为 BND-L21 (国际版/4GB+64GB/颜色随机)
TKMB191100WN,三星 SM-G950N (国际版/4GB+64GB/颜色随机)
TKMB191100R0,华为 AUM-L29 (国际版/4GB+64GB/颜色随机)
TKMB191100R1,华为 AUM-L29 (国际版/4GB+64GB/颜色随机)
TKMB191100R3,华为 JKM-LX2 (国际版/4GB+64GB/颜色随机)
TKMB191100R4,华为 ANE-LX2 (国际版/4GB+64GB/颜色随机)
TKMB191100R5,华为 ANE-LX2 (国际版/4GB+64GB/颜色随机)
TKMB191100EE,三星 SM-G955N (国际版/4GB+64GB/颜色随机)
TKMB191100ER,华为 ANE-LX1 (国际版/4GB+64GB/颜色随机)
TKMB191100EW,华为 ANE-LX1 (国际版/4GB+64GB/颜色随机)
TKMB191100E9,三星 SM-J730GM (国际版/4GB+64GB/颜色随机)
TKMB191100E8,三星 SM-J730GM (国际版/4GB+64GB/颜色随机)
TKMB191100E7,三星 SM-G930V (国际版/4GB+64GB/颜色随机)
TKMB191100E6,三星 SM-G930V (国际版/4GB+64GB/颜色随机)
TKMB191100E4,摩托罗拉 moto x4 (国际版/4GB+64GB/颜色随机)
TKMB191100E3,摩托罗拉 Moto Z(2) (国际版/4GB+64GB/颜色随机)
TKMB191100E2,摩托罗拉 Moto Z(2) (国际版/4GB+64GB/颜色随机)
TKMB191100E1,摩托罗拉 Moto G Play (国际版/4GB+64GB/颜色随机)
TKMB191100EP,小米 MI 6X (国际版/4GB+64GB/颜色随机)
TKMB191100RJ,华为 DUB-LX2 (国际版/4GB+64GB/颜色随机)
TKMB191100RX,华为 DUB-LX2 (国际版/4GB+64GB/颜色随机)
TKMB191100RT,三星 SM-J701MT (国际版/4GB+64GB/颜色随机)
TKMB191100RG,三星 SM-J701MT (国际版/4GB+64GB/颜色随机)
TKMB191100RF,三星 SM-J737T1 (国际版/4GB+64GB/颜色随机)
TKMB191100RE,三星 SM-J737T1 (国际版/4GB+64GB/颜色随机)
TKMB191100RP,三星 SM-G930F (国际版/4GB+64GB/颜色随机)
TKMB191100RA,三星 SM-G930F (国际版/4GB+64GB/颜色随机)
TKMB191100E5,摩托罗拉 moto x4 (国际版/4GB+64GB/颜色随机)
TKMB191100E0,摩托罗拉 Moto G Play (国际版/4GB+64GB/颜色随机)
TKMB191100RW,三星 SM-A605F (国际版/4GB+64GB/颜色随机)
TKMB191100R7,华为 HRY-LX1 (国际版/4GB+64GB/颜色随机)
TKMB191100EL,OPPO CPH1723 (国际版/4GB+64GB/颜色随机)
TKMB191100EY,OPPO CPH1723 (国际版/4GB+64GB/颜色随机)
TKMB191100EJ,小米 Redmi Note 6 Pro (国际版/4GB+64GB/颜色随机)
TKMB191100EX,小米 Redmi Note 6 Pro (国际版/4GB+64GB/颜色随机)
TKMB191100ET,摩托罗拉 moto e5 plus (国际版/4GB+64GB/颜色随机)
TKMB191100EG,摩托罗拉 moto e5 plus (国际版/4GB+64GB/颜色随机)
TKMB191100EF,三星 SM-G955N (国际版/4GB+64GB/颜色随机)
TKMB191100R8,三星 SM-G920V (国际版/4GB+64GB/颜色随机)
TKMB191100R6,华为 HRY-LX1 (国际版/4GB+64GB/颜色随机)
TKMB1909023A,POCOPHONE F1 (国际版/6GB+64GB/颜色随机)
TKMB19090249,JKM-LX2 (国际版/4GB+64GB/颜色随机)
TKMB1909023M,motorola one (国际版/4GB+64GB/颜色随机)
TKMB19090254,SNE-LX1 (国际版/4GB+64GB/颜色随机)
TKMB1909024E,SNE-LX1 (国际版/4GB+64GB/颜色随机)
TKMB19090242,JKM-LX2 (国际版/4GB+64GB/颜色随机)
TKMB1909022X,POCOPHONE F1 (国际版/6GB+64GB/颜色随机)
TKMB19090250,moto g(6) (国际版/4GB+64GB/颜色随机)
TKMB1909024J,moto g(6) (国际版/4GB+64GB/颜色随机)
TKMB19090241,SM-G892A (国际版/4GB+64GB/颜色随机)
TKMB19090245,SM-G892A (国际版/4GB+64GB/颜色随机)
TKMB1909025R,FIG-LX1 (国际版/4GB+64GB/颜色随机)
TKMB1910006T,畅享7 Plus （全网通4G/双卡双待/3GRAM+32G ROM/颜色随机）
TKMB191001MF,荣耀畅玩6X(二手机/移动全网通/BLN-TL10/4GB+32GB/颜色随机)
TKMB19100215,R7s(二手机/TD-LTE/FDD-LTE/4GB+32GB/颜色随机)
TKMB1910023F,Y67L(二手机/移动定制全网通版/4G+32G/颜色随机)
TKMB1910020P,R9 PLUSTM A(二手机/移动定制版4G/4GB+64GB/颜色随机)
TKMB1910023G,A73T(二手机/移动定制全网通/4GB+32GB/颜色随机)
TKMB1910023E,X9s L(二手机/移动定制版4G/4GB+64GB/颜色随机)
TKMB1910006L,黑鲨2 代(全网通4G/6GB+128GB/颜色随机)
TKMB191001MW,XPLAY5A(二手机/全网通4G/4GB+128G/颜色随机)
TKMB1910020A,X9s plus L(二手机/移动定制版全网通4G/4GB+64GB/颜色随机)
TKMB1909031Y,P20 Pro（移动联通电信4G/6GB +64GB/颜色随机
TKMB190902YX,三星 Galaxy S9+(SM-G9650/DS)6GB+128GB 夕雾紫 移动联通电信4G手机 双卡双待(6405874)
TKMB191000LM,R15（移动联通电信4G/梦境版/6+128G/颜色随机）
TKMB19100096,5T（A5010）（移动联通电信4G/8GB+128GB/颜色随机）
TKMB191000NT,荣耀V10（BKL-AL20/6+128G/全网通/颜色随机）
TKMB19100081,galaxy s9(全网通4G/128G/颜色随机)
TKMB1910008E,nova 4 （极点全面屏手机/4800万超广角三摄/8GB+128GB/颜色随机）
TKMB191000NE,小米 MIX2S（移动联通电信4G/8GB+256GB/颜色随机）
TKMB19100098,一加6（全网通4G/8GB+128GB/颜色随机）
TKMB19100107,P20（移动联通4G/4GB +128GB/港版/颜色随机)
TKMB190902YT,手机6T 8GB+128GB 墨岩黑 光感屏幕指纹 全面屏双摄游戏手机 全网通4G 双卡双待(100001172674)
TKMB1910007P,mate 10 pro（移动联通电信4G/6GB+64GB/颜色随机）
TKMB1909031M,Mate 10（移动联通电信4G/4GB RAM 64G//颜色随机）
TKMB191000NX,荣耀9(青春版全网通高配版/4GB+32GB/颜色随机)
TKMB1910010E,畅享7s (4GB+64GB 全网通高配版 颜色随机)
TKMB19100085,5X（移动联通电信4G/4GB+64GB/颜色随机）
TKMB191000L1,nova 5i（全网通4G/8GB+128GB/颜色不限）
TKMB191000M8,红米Note4X（移动联通电信4G/4GB+64GB/颜色随机）
TKMB19100086,R9s Plus（移动联通电信4G/双卡双待/6GB+64GB/颜色随机）
TKMB191000N8,荣耀9（6G+64G/高配全网通双卡双待/颜色随机）
TKMB19100074,荣耀 V9 play （全网通4G手机/4GB RAM+32GB ROM/颜色随机）
TKMB1910010P,荣耀9（移动联通电信4G/6G+128G/标配/颜色随机）
TKMB191000NR,麦芒5 （全网通4G手机/4GB+64GB/颜色随机）
TKMB190902YF,A5 全面屏拍照手机 4GB+64GB 幻镜蓝 全网通 移动联通电信4G 双卡双待手机(8048198)
TKMB19100108,A57（全网通4G/3GB+32GB/颜色随机)）
TKMB19100077,红米4A（移动联通电信4G/2+16G/颜色随机）
TKMB1910007M,X9i（4GB+64GB 全网通4G手机 双卡双待 颜色随机）
TKMB191000NJ,荣耀8（4GB+64GB全网通版/颜色随机）
TKMB190902YG,荣耀畅玩6A 全网通4G 移动联通电信4G 双卡双待 智能老人手机 金色 (3GRAM+32GROM)(13301418139)
TKMB1910010R,Y67 全网通 4GB+32GB 移动联通电信4G手机 双卡双待
TKMB1910008A,X7 （4GB+64GB 全网通4G手机 双卡双待 颜色随机）
TKMB1910006W,畅享 9S（全网通4G/双卡双待/4GB+64GB/颜色随机）
